,Date,Name,Place,URL
1103,sam. 20.03.2010,Kerzerslauf,Kerzers,http://services.datasport.com/2010/lauf/kerzers
1104,sam. 06.03.2010,Laufsporttag Winterthur,Winterthur,http://services.datasport.com/2010/zkb/winterthur
1105,sam. 06.03.2010,"Championnat Suisse de Cross, St-Maurice",St-Maurice,http://services.datasport.com/2010/lauf/crosssm
1106,mer. 28.04.2010,BCN Tour Ponts-de-Martel,Chézard-St-Martin,http://services.datasport.com/2010/lauf/tdcn/etape2
1107,mer. 28.04.2010,Tour du Chablais #4 Yvorne,Les Mosses,http://services.datasport.com/2010/lauf/TourDuChablais/etappe4
1108,sam. 24.04.2010,Luzerner Stadtlauf,Luzern,http://services.datasport.com/2010/lauf/luzern
1109,sam. 24.04.2010,20km de Lausanne,Lausanne,http://services.datasport.com/2010/lauf/km20
1110,mer. 21.04.2010,BCN Tour Colombier,Colombier NE,http://services.datasport.com/2010/lauf/tdcn/etape1
1111,mer. 21.04.2010,Tour du Chablais #3 Bex,Evionnaz,http://services.datasport.com/2010/lauf/TourDuChablais/etappe3
1112,dim. 18.04.2010,Walking Lugano,Lugano,http://services.datasport.com/2010/lauf/lugano
1113,sam. 17.04.2010,GP der Stadt Dübendorf,Dübendorf,http://services.datasport.com/2010/zkb/gpduebendorf
1114,sam. 17.04.2010,"Bündner Frühlingslauf, Domat / Ems",Thusis,http://services.datasport.com/2010/lauf/buendner
1115,sam. 17.04.2010,"Rotseelauf, Ebikon",Ebikon,http://services.datasport.com/2010/lauf/rotsee
1116,mer. 14.04.2010,Tour du Chablais #2 St-Gingolph,Bouveret,http://services.datasport.com/2010/lauf/TourDuChablais/etappe2
1117,dim. 11.04.2010,"Zürich Marathon, Teamrun und Cityrun",Zürich,http://services.datasport.com/2010/lauf/zuerich
1118,sam. 10.04.2010,"Les Traine-Savates, Cheseaux-sur-Lausanne",Cheseaux-sur-Lausanne,http://services.datasport.com/2010/lauf/traines
1119,mer. 07.04.2010,Tour du Chablais #1 Roche,Ollon VD,http://services.datasport.com/2010/lauf/TourDuChablais/etappe1
1120,lun. 05.04.2010,"Giro Media Blenio, Dongio",Dongio,http://services.datasport.com/2010/lauf/blenio
1121,sam. 03.04.2010,"GP Fricktal, Eiken",Eiken,http://services.datasport.com/2010/lauf/eiken
1122,dim. 30.05.2010,"Blüemlisalp-Lauf, Reichenbach",Reichenbach im Kandertal,http://services.datasport.com/2010/lauf/bluemlisalp
1123,sam. 29.05.2010,Lenzburger Lauf,Lenzburg,http://services.datasport.com/2010/lauf/lburger
1124,mer. 26.05.2010,BCN Tour Neuchâtel,Neuchâtel,http://services.datasport.com/2010/lauf/tdcn/etape6
1125,sam. 22.05.2010,Pfingstlauf Wohlen AG,Wohlen AG,http://services.datasport.com/2010/lauf/wohlen
1126,ven. 21.05.2010,Faido Running Night,Faido,http://services.datasport.com/2010/lauf/faido
1127,mer. 19.05.2010,BCN Tour Môtier,Couvet,http://services.datasport.com/2010/lauf/tdcn/etape5
1128,dim. 16.05.2010,Winterthur Marathon,Winterthur,http://services.datasport.com/2010/lauf/winterthur
1129,dim. 16.05.2010,"Dreiländer-Lauf, Basel",Basel,http://services.datasport.com/2010/lauf/dreilaender
1130,sam. 15.05.2010,Fläckelauf Beromünster,Beromünster,http://services.datasport.com/2010/lauf/flaeckelauf
1131,sam. 15.05.2010,"Zofinger Stadtlauf, Zofingen",Zofingen,http://services.datasport.com/2010/lauf/zofinger
