,Unnamed: 0,Date,Name,Place,URL,min_temp,max_temp,uv_index,weather_desc
597,597,sam. 07.01.2006,"Swiss Snow Walk & Run, Arosa",Arosa,http://services.datasport.com/2006/lauf/arosa,,,,
598,598,dim. 01.01.2006,"Neujahrsmarathon Zürich, Schlieren",Schlieren,http://services.datasport.com/2006/lauf/neujahrsmarathon/,,,,
599,599,sam. 25.02.2006,ASICS Bremgarter Reusslauf,Bremgarten AG,http://services.datasport.com/2006/lauf/reuss,,,,
600,600,dim. 12.02.2006,Snow-Nordic-Walking Day Einsiedeln,Einsiedeln,http://services.datasport.com/2006/lauf/snowwalk,,,,
601,601,dim. 12.02.2006,Cross Challenge Benken,Benken ZH,http://services.datasport.com/2006/lauf/benken,,,,
602,602,sam. 25.03.2006,Zumiker-Lauf,Zumikon,http://services.datasport.com/2006/zkb/zumiker,,,,
603,603,sam. 25.03.2006,"Badener Limmat-Lauf, Baden",Baden,http://services.datasport.com/2006/lauf/baden,,,,
604,604,sam. 18.03.2006,Kerzerslauf,Kerzers,http://services.datasport.com/2006/lauf/kerzers,,,,
605,605,sam. 18.03.2006,Männedörfler Waldlauf,Männedorf,http://services.datasport.com/2006/zkb/maennedorf,,,,
606,606,dim. 05.03.2006,"Championnat Suisse de Cross-Country,Genf",Genève,http://services.datasport.com/2006/lauf/onex,,,,
607,607,sam. 04.03.2006,Laufsporttag Winterthur,Winterthur,http://services.datasport.com/2006/zkb/winterthur,,,,
608,608,dim. 30.04.2006,"Wiedlisbacher Läufe, Wiedlisbach",Wiedlisbach,http://services.datasport.com/2006/waffenlauf/wiedlisbacher,,,,
609,609,sam. 29.04.2006,Luzerner Stadtlauf,Luzern,http://services.datasport.com/2006/lauf/luzern,,,,
610,610,sam. 29.04.2006,"Chäsitzerlouf, Kehrsatz",Kehrsatz,http://services.datasport.com/2006/lauf/kehrsatz,,,,
611,611,mer. 26.04.2006,BCN Tour Boudry,Colombier NE,http://services.datasport.com/2006/lauf/tdcn/etape1,,,,
612,612,sam. 22.04.2006,20km de Lausanne,Lausanne,http://services.datasport.com/2006/lauf/km20,,,,
613,613,lun. 17.04.2006,"Giro Media Blenio, Dongio",Dongio,http://services.datasport.com/2006/lauf/blenio,,,,
614,614,sam. 15.04.2006,"GP Fricktal, Eiken",Eiken,http://services.datasport.com/2006/lauf/eiken,,,,
615,615,dim. 09.04.2006,"Zürich Marathon, Teamrun und Cityrun",Zürich,http://services.datasport.com/2006/lauf/zuerich,,,,
616,616,sam. 01.04.2006,GP der Stadt Dübendorf,Dübendorf,http://services.datasport.com/2006/zkb/gpduebendorf,,,,
617,617,sam. 01.04.2006,"Christmas Midnight Run, Lausanne",Lausanne,http://services.datasport.com/2006/lauf/midnight,,,,
618,618,sam. 01.04.2006,"Rotseelauf, Ebikon",Ebikon,http://services.datasport.com/2006/lauf/rotsee,,,,
619,619,sam. 01.04.2006,Birslauf Basel,Basel,http://services.datasport.com/2006/lauf/birslauffr,,,,
620,620,mer. 31.05.2006,BCN Tour Neuchâtel,Neuchâtel,http://services.datasport.com/2006/lauf/tdcn/etape6,,,,
621,621,sam. 27.05.2006,Lenzburger Lauf,Lenzburg,http://services.datasport.com/2006/lauf/lburger,,,,
622,622,jeu. 25.05.2006,"Flughafenlauf, Kloten",Kloten,http://services.datasport.com/2006/zkb/flughafen,,,,
623,623,mer. 24.05.2006,BCN Tour La Chaux-de-Fonds,Couvet,http://services.datasport.com/2006/lauf/tdcn/etape5,,,,
624,624,sam. 20.05.2006,Fläckelauf Beromünster,Beromünster,http://services.datasport.com/2006/lauf/flaeckelauf,,,,
625,625,mer. 17.05.2006,BCN Tour Couvet,La Chaux-de-Fonds,http://services.datasport.com/2006/lauf/tdcn/etape4,,,,
626,626,mer. 10.05.2006,BCN Tour Chézard,Les Ponts-de-Martel,http://services.datasport.com/2006/lauf/tdcn/etape3,,,,
