,date,name,location,url,min_temp,max_temp,uv_index,weather_desc,latitude,longitude,weekday,day,month,year
59,dim. 07.11.1999,"Walliseller Lauf, Wallisellen",Wallisellen,http://services.datasport.com/1999/lauf/wallisellen,,,,,,,sunday,7,11,1999
60,dim. 07.11.1999,"Gurtenclassic, Wabern",Wabern,http://services.datasport.com/1999/lauf/gurten,,,,,46.92901639999999,7.448973199999999,sunday,7,11,1999
61,ven. 31.12.1999,Gippinger Stauseelauf,Leuggern,http://services.datasport.com/1999/lauf/gippingen,,,,,47.5810513,8.2152586,friday,31,12,1999
62,dim. 12.12.1999,"Steinhölzlilauf, Liebefeld",Liebefeld,http://services.datasport.com/1999/lauf/steinhlzli,,,,,46.933331,7.416668,sunday,12,12,1999
63,sam. 11.12.1999,Course Titzé de noël Sion,Sion,http://services.datasport.com/1999/lauf/sion,,,,,46.2331221,7.360625999999999,saturday,11,12,1999
64,sam. 04.12.1999,"Course de l'Escalade, Genève",Genève,http://services.datasport.com/1999/lauf/escalade,,,,,46.2043907,6.1431577,saturday,4,12,1999
65,sam. 04.12.1999,Gossauer Weihnachtslauf,Gossau SG,http://services.datasport.com/1999/lauf/gossau,,,,,47.4155608,9.248852,saturday,4,12,1999
66,sam. 08.01.2000,"Dietiker Neujahrslauf, Dietikon",Dietikon,http://services.datasport.com/2000/zkb/zhneujahr,,,,,47.4053885,8.39977,saturday,8,1,2000
67,sam. 25.03.2000,Männedörfler Waldlauf,Männedorf,http://services.datasport.com/2000/zkb/maennedorf,,,,,47.2574625,8.6946733,saturday,25,3,2000
68,sam. 18.03.2000,Kerzerslauf,Kerzers,http://services.datasport.com/2000/lauf/kerzers,,,,,46.97488999999999,7.1954365,saturday,18,3,2000
69,sam. 29.04.2000,20km de Lausanne,Lausanne,http://services.datasport.com/2000/lauf/km20,,,,,46.5196535,6.6322734,saturday,29,4,2000
70,sam. 29.04.2000,"Chäsitzerlouf, Kehrsatz",Kehrsatz,http://services.datasport.com/2000/lauf/kehrsatz,,,,,,,saturday,29,4,2000
71,mer. 26.04.2000,BCN Tour St. Aubin,Chézard-St-Martin,http://services.datasport.com/2000/lauf/tdcn,,,,,47.0624261,6.9175754,wednesday,26,4,2000
72,lun. 24.04.2000,"Osterlauf, Muri",Muri AG,http://services.datasport.com/2000/lauf/muri,,,,,,,monday,24,4,2000
