,city,latitude,longitude,distance,runners,population,canton
127,DK-Snekkersten,56.010163,12.585491,11.20315001963912,2,nan,nan
128,F-Grenoble,45.188529,5.724524,1.6111801288808756,12,nan,nan
129,Romanel-sur-Morges,46.5555532,6.5108738,0.12659641124554108,5,nan,nan
130,Vufflens-le-Château,46.5250638,6.47441,0.15795608378802647,21,nan,nan
131,Yens,n,a,,8,nan,nan
132,F-Paris,48.856614,2.3522219,4.876497228668598,54,nan,nan
133,Gollion,46.5852808,6.5067932,0.14160587239705275,8,nan,nan
134,I-San Lazzaro di Savena (,44.4689738,11.4218161,5.210086996117758,1,nan,nan
135,Pampigny,46.580344,6.427485900000001,0.21359133162771296,16,nan,nan
136,Vallorbe,46.71199650000001,6.3791102,0.3179425034235681,21,nan,nan
137,Neuchâtel,46.9899874,6.9292732,0.5562579066307732,74,33712,NE
138,Coppet,46.31661949999999,6.1935705,0.4834077364134896,10,3137,VD
139,Yvorne,46.3315011,6.958394999999999,0.3765058082052914,6,nan,nan
140,F-Marseille,43.296482,5.36978,3.4616071561423323,2,nan,nan
141,F-Ancenis,47.365464,-1.177491,7.855432221425986,1,nan,nan
142,Orbe,46.7293301,6.5323588,0.2322653738307126,23,6852,VD
143,Pfäffikon ZH,47.3661671,8.7866772,2.3147442641552014,2,nan,nan
144,Chéserex,46.40056999999999,6.17475,0.4727668997717709,5,nan,nan
145,Vuisternens-devant-Romont,46.6557858,6.929977399999999,0.32735252361833056,3,nan,nan
146,Jongny,46.48264529999999,6.8470796,0.21797089352865598,24,nan,nan
147,Apples,n,a,,15,nan,nan
148,Gland,46.4203001,6.2698809,0.3757651156611125,60,12727,VD
149,La Conversion,48.287338,6.057081,1.8589122595103875,32,nan,nan
150,Poliez-Pittet,46.6274641,6.6819435,0.11870233488171213,6,nan,nan
151,Boudry,46.9542921,6.8478409,0.4851598289906282,14,5720,NE
152,F-Archamps,46.135197,6.130955999999999,0.6317641458131426,2,nan,nan
153,Pura,15.6200321,120.6516265,118.13212723051176,1,nan,nan
154,I-Perugia (PG),43.1107168,12.3908279,6.691920453358447,3,nan,nan
155,F-Ornex,43.167451,1.247519,6.342936350723188,7,nan,nan
156,F-Evian les Bains,46.401488,6.590948999999999,0.1251830317000239,26,nan,nan
157,E-Sant Cugat Del Valles,41.4720702,2.0865154,6.792791249920969,1,nan,nan
158,F-St Julien en Genevois,46.144516,6.081338,0.6665267878183184,10,nan,nan
159,Basel,47.5595986,7.5885761,1.4127988763590198,50,175617,BS
160,Villars-sous-Yens,46.5101868,6.428715100000001,0.20377831069026853,6,nan,nan
161,F-Labergement Sainte Mari Proches Aidants 10 km,n,a,,1,nan,nan
162,F-Saint point lac,46.82782160000001,6.325603399999999,0.4347574803929389,1,nan,nan
163,Vouvry,46.3363829,6.891011199999999,0.3170699638458354,15,nan,nan
164,Clarens,-28.5143573,28.4104684,78.13061214525676,38,nan,nan
