,city,latitude,longitude
253,Vufflens-le-Château,46.5250638,6.47441
254,Yens,n,a
255,Rolle,46.4612971,6.3397549
256,F-Paris,48.856614,2.3522219
257,Gollion,46.5852808,6.5067932
258,Lausanne,46.5196535,6.6322734
259,I-San Lazzaro di Savena (,44.4689738,11.4218161
260,Pampigny,46.580344,6.427485900000001
261,Pampigny,46.580344,6.427485900000001
262,Romanel-sur-Morges,46.5555532,6.5108738
263,Vallorbe,46.71199650000001,6.3791102
264,Vallorbe,46.71199650000001,6.3791102
265,Neuchâtel,46.9899874,6.9292732
266,Zürich,47.3768866,8.541694
267,Coppet,46.31661949999999,6.1935705
268,Yvorne,46.3315011,6.958394999999999
269,Echallens,46.6410996,6.634450800000001
270,F-Marseille,43.296482,5.36978
271,F-Ancenis,47.365464,-1.177491
272,Bern,46.9479739,7.4474468
273,Pully,46.5092681,6.6654949
274,Orbe,46.7293301,6.5323588
275,Pfäffikon ZH,47.3661671,8.7866772
276,Lausanne,46.5196535,6.6322734
277,Ecublens VD,46.5296363,6.561525199999999
278,Lausanne,46.5196535,6.6322734
279,Chéserex,46.40056999999999,6.17475
280,Vevey,46.4628333,6.8419192
281,Vuisternens-devant-Romont,46.6557858,6.929977399999999
282,Jongny,46.48264529999999,6.8470796
283,Apples,n,a
284,Lutry,46.5088803,6.6827638
285,Lausanne,46.5196535,6.6322734
286,Lausanne,46.5196535,6.6322734
287,Lausanne,46.5196535,6.6322734
288,Lausanne,46.5196535,6.6322734
289,Genève,46.2043907,6.1431577
290,Gland,46.4203001,6.2698809
291,La Conversion,48.287338,6.057081
292,La Conversion,48.287338,6.057081
293,Lausanne,46.5196535,6.6322734
294,Lausanne,46.5196535,6.6322734
295,Gland,46.4203001,6.2698809
296,Poliez-Pittet,46.6274641,6.6819435
298,Boudry,46.9542921,6.8478409
299,Genève,46.2043907,6.1431577
300,Genève,46.2043907,6.1431577
301,Genève,46.2043907,6.1431577
302,Lausanne,46.5196535,6.6322734
303,F-Archamps,46.135197,6.130955999999999
304,Ecublens VD,46.5296363,6.561525199999999
305,Pura,15.6200321,120.6516265
306,I-Perugia (PG),43.1107168,12.3908279
307,Lausanne,46.5196535,6.6322734
308,F-Ornex,43.167451,1.247519
309,F-Evian les Bains,46.401488,6.590948999999999
310,F-Evian les Bains,46.401488,6.590948999999999
311,Lausanne,46.5196535,6.6322734
312,E-Sant Cugat Del Valles,41.4720702,2.0865154
313,F-St Julien en Genevois,46.144516,6.081338
